CASE_NUMBER,JOB_TITLE,SOC_CODE,SOC_TITLE,FULL_TIME_POSITION,BEGIN_DATE,END_DATE,EMPLOYER_NAME,TRADE_NAME_DBA,WORKSITE_ADDRESS1,WORKSITE_CITY,WORKSITE_COUNTY,WORKSITE_STATE,WORKSITE_POSTAL_CODE,WAGE_RATE_OF_PAY_FROM,WAGE_RATE_OF_PAY_TO,WAGE_UNIT_OF_PAY,PW_WAGE_LEVEL,Year,Quarter
I-200-25076-782093,Dental Director,29-1021.00,"dentists, general",Y,2025-04-01 00:00:00,2028-03-31 00:00:00,Community Health Center of Franklin County,,146 High Street,Greenfield,GREENFIELD,MA,01301,200000,,Year,III,2025,Q2
I-200-25077-782850,Associate Dentist,29-1021.00,"dentists, general",N,2025-05-25 00:00:00,2028-05-24 00:00:00,"SAB, Pompton Lakes, PC",,38 Ramapo Ave,Pompton Lakes,PASSAIC,NJ,07442,81.25,,Hour,III,2025,Q2
I-200-25075-779656,Associate Dentist,29-1021.00,"dentists, general",Y,2025-06-27 00:00:00,2028-06-26 00:00:00,Babcock Dental Center LLC,,4070 S Babcock Street,Melbourne,BREVARD,FL,32901,300000,,Year,IV,2025,Q2
I-200-25073-777424,Dentist,29-1021.00,"dentists, general",Y,2025-07-05 00:00:00,2028-07-04 00:00:00,Betty Jean Kerr Peoples Health Centers,,5701 Delmar Blvd.,St. Louis,ST LOUIS,MO,63112,182998,,Year,II,2025,Q2
I-200-25072-771582,Associate Dentist,29-1021.00,"dentists, general",N,2025-08-01 00:00:00,2028-07-31 00:00:00,Smiletown Dental LLC,,1177 Rinehart Road,Sanford,SEMINOLE,FL,32771,81,,Hour,II,2025,Q2
I-200-25072-774202,Advanced Education in General Dentistry Resident,29-1021.00,"dentists, general",Y,2025-07-01 00:00:00,2028-06-30 00:00:00,THE METROHEALTH SYSTEM,,THE METROHEALTH SYSTEM (Main campus),Cleveland,CUYAHOGA,OH,44109,69471,,Year,,2025,Q2
I-200-25071-768608,DENTIST,29-1021.00,"dentists, general",N,2025-03-19 00:00:00,2028-03-18 00:00:00,Dental Dreams LLC,,555 State Street,Springfield,SPRINGFIELD CITY,MA,01109,58.68,85,Hour,I,2025,Q2
I-200-25070-765952,General Dentist,29-1021.00,"dentists, general",Y,2025-07-18 00:00:00,2028-07-17 00:00:00,"La Clinica de los Campesinos, Inc.",,3504 E. Maria Drive,Stevens Point,PORTAGE,WI,54481,199867,229087,Year,I,2025,Q2
I-200-25070-764990,Associate Dentist,29-1021.00,"dentists, general",N,2025-05-01 00:00:00,2026-05-01 00:00:00,Ashland Family Dentristy,,37 main street,Ashland,ASHLAND,MA,01721,150,200,Hour,III,2025,Q2
I-200-25069-762964,Dentist,29-1021.00,"dentists, general",Y,2025-08-01 00:00:00,2028-07-31 00:00:00,"Affinia Healthcare, Inc.",Affinia Healthcare,3396 Pershall Road,Ferguson,ST LOUIS,MO,63135,182998,,Year,II,2025,Q2
I-200-25069-762348,Dentist,29-1021.00,"dentists, general",Y,2025-09-08 00:00:00,2028-09-07 00:00:00,Global Smiles Dental 5 LLC,7 Days Family Dental of High School Rd.,3410 N. High School Rd.,Indianapolis,MARION,IN,46224,200000,,Year,II,2025,Q2
I-200-25066-757807,Assistant Dental Director,29-1021.00,"dentists, general",Y,2025-04-18 00:00:00,2028-04-17 00:00:00,Cares Community Health Inc.,One Community Health,1500 21st Street,Sacramento,SACRAMENTO,CA,95811,179761,227345,Year,III,2025,Q2
I-200-25066-758424,Correctional Unit Dentist,29-1021.00,"dentists, general",Y,2025-09-01 00:00:00,2028-08-31 00:00:00,TEXAS TECH UNIVERSITY HEALTH SCIENCES CENTER,,12071 FM 3522,Abilene,TAYLOR,TX,79601,131997,196888.86,Year,II,2025,Q2
I-200-25065-752646,Dentist,29-1021.00,"dentists, general",Y,2025-03-17 00:00:00,2028-03-16 00:00:00,"Caring Health Center, Inc.",,1049 Main Street,Springfield,SPRINGFIELD CITY,MA,01103,122054,140000,Year,I,2025,Q2
I-200-25065-751560,Dentist,29-1021.00,"dentists, general",Y,2025-03-17 00:00:00,2028-03-16 00:00:00,Northglenn Dental Partners LLP,Comfort Dental of Northglenn,10780 Washington,Northglenn,ADAMS,CO,80233,120000,,Year,II,2025,Q2
I-200-25065-751329,Dentist,29-1021.00,"dentists, general",Y,2025-09-05 00:00:00,2028-09-04 00:00:00,"Community Health Programs, Inc.",,510 North Street,Pittsfield,PITTSFIELD CITY,MA,01201,63.28,,Hour,I,2025,Q2
I-200-25065-751916,DENTIST,29-1021.00,"dentists, general",Y,2025-03-13 00:00:00,2028-03-12 00:00:00,"Western Dental Services, Inc.",,2776 MISSION STREET,SAN FRANCISCO,SAN FRANCISCO,CA,94110,100,,Hour,II,2025,Q2
I-200-25064-746816,Dentist,29-1021.00,"dentists, general",Y,2025-07-18 00:00:00,2028-07-17 00:00:00,"Compass Health, Inc.",Compass Health Network,2000 N. Gaines Drive,Clinton,HENRY,MO,64735,175000,250000,Year,II,2025,Q2
I-200-25063-744026,Dentist,29-1021.00,"dentists, general",Y,2025-08-20 00:00:00,2028-08-19 00:00:00,Neibauer Dental Care PC,,12244 W Broad St.,Henrico,HENRICO,VA,23233,180000,,Year,II,2025,Q2
I-200-25063-742749,Clinical Associate Professor,29-1021.00,"dentists, general",Y,2025-04-04 00:00:00,2027-06-30 00:00:00,UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,,"UNC-CH, ASOD, Periodontology, Endo., & Dental Hygiene Dept.",Chapel Hill,ORANGE,NC,27599,160000,,Year,III,2025,Q2
I-200-25062-737888,"Associate Dentist, Pediatric Dentistry",29-1021.00,"dentists, general",Y,2025-09-01 00:00:00,2028-08-31 00:00:00,"Perry L. Jeffries, DDS and Associates, P.A.",,4400 Falls of Neuse Rd.,Raleigh,WAKE,NC,27609,196229,,Year,II,2025,Q2
I-200-25062-737055,Dentist,29-1021.00,"dentists, general",Y,2025-09-01 00:00:00,2028-08-31 00:00:00,Valley Professionals Community Health Center Inc.,,Valley Professionals Community Health Center Inc.,Crawfordsville,MONTGOMERY,IN,47933,215000,,Year,II,2025,Q2
I-200-25062-738435,DENTIST,29-1021.00,"dentists, general",N,2025-03-07 00:00:00,2028-03-06 00:00:00,DENTAL ASSOCIATES OF ROCK HILL CROSSING,DENTALWORKS,"4891 OLD YORK ROAD, SUITE 104",ROCK HILL,YORK,SC,29732,100,,Hour,II,2025,Q2
I-200-25062-738892,Clinical Assistant Professor,29-1021.00,"dentists, general",Y,2025-04-04 00:00:00,2027-06-30 00:00:00,UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,,"UNC-CH, ASOD,  Periodontol., Endo., and Dental Hygiene Dept.",Chapel Hill,ORANGE,NC,27599,154000,,Year,III,2025,Q2
I-200-25060-735680,Clinical Assistant Professor,29-1021.00,"dentists, general",Y,2025-08-31 00:00:00,2028-08-30 00:00:00,The University of Iowa,,The University of Iowa,Iowa City,JOHNSON,IA,52242,123276,,Year,II,2025,Q2
I-200-25059-732778,Assistant Dental Director,29-1021.00,"dentists, general",Y,2025-08-30 00:00:00,2028-08-29 00:00:00,"Greater Philadelphia Health Action, Inc.",,4510 Frankford Avenue,Philadelphia,PHILADELPHIA,PA,19124,130000,168920.18,Year,I,2025,Q2
I-200-25059-734191,Dentist,29-1021.00,"dentists, general",Y,2025-06-27 00:00:00,2028-06-26 00:00:00,"Lifetime Dental Care of Illinois, P.C.",,411 Keokuk Street,Lincoln,LOGAN,IL,62656,170000,,Year,II,2025,Q2
I-200-25059-733384,Dentist,29-1021.00,"dentists, general",Y,2025-05-01 00:00:00,2028-04-30 00:00:00,"Great Expressions Dental Centers of Texas, PLLC",,4920 State Highway 121,Lewisville,DALLAS,TX,75056,204000,,Year,I,2025,Q2
I-200-25058-731237,Dentist,29-1021.00,"dentists, general",Y,2025-04-07 00:00:00,2028-04-06 00:00:00,FAMILY HEALTHCARE NETWORK,,12586 Avenue 408,Orosi,TULARE,CA,93647,210000,,Year,III,2025,Q2
I-200-25058-728493,General Dentist,29-1021.00,"dentists, general",Y,2025-02-28 00:00:00,2028-02-27 00:00:00,Lotus Dental Inc.,Lotus Dental,Lotus Dental:  6502 Grape Road,Mishawaka,ST JOSEPH,IN,46545,125000,,Year,I,2025,Q2
I-200-25058-729579,Associate Doctor,29-1021.00,"dentists, general",Y,2025-08-22 00:00:00,2028-08-21 00:00:00,Midwest Family Dental Care “ Kokomo PC,,2714 Rockford Ln,Kokomo,HOWARD,IN,46902,222300,,Year,II,2025,Q2
I-200-25059-731402,General Dentist,29-1021.00,"dentists, general",N,2025-03-01 00:00:00,2028-02-29 00:00:00,Thrive Dental P.C.,,4836 Main St,Skokie,COOK,IL,60077,58.02,60,Hour,II,2025,Q2
I-200-25056-721601,Dentist,29-1021.00,"dentists, general",Y,2025-08-04 00:00:00,2028-08-03 00:00:00,Elica Health Centers,,4815 Watt Avenue,North Highlands,SACRAMENTO,CA,95660,80,95,Hour,II,2025,Q2
I-200-25055-718285,General Dentist,29-1021.00,"dentists, general",Y,2025-08-26 00:00:00,2028-08-25 00:00:00,"William J.K. Saiget, P.C.",Gentle Dental,1420 Marvin Rd NE,Lacey,THURSTON,WA,98516,128000,,Year,I,2025,Q2
I-200-25055-719426,Dentist,29-1021.00,"dentists, general",Y,2025-07-15 00:00:00,2028-07-14 00:00:00,Family Care Health Centers,,401 Holly Hills,St. Louis,ST LOUIS CITY,MO,63111,124706.4,,Year,I,2025,Q2
I-200-25052-714360,Dentist,29-1021.00,"dentists, general",Y,2025-03-03 00:00:00,2028-03-02 00:00:00,"Arizona Dental Professionals, PC",,44555 W Edison Road,Maricopa,PINAL,AZ,85138,180000,,Year,I,2025,Q2
I-200-25052-713818,Dentist,29-1021.00,"dentists, general",Y,2025-03-03 00:00:00,2027-03-03 00:00:00,Lincoln County Health Department,,5 Health Department Drive,Troy,LINCOLN,MO,63379,215000,,Year,II,2025,Q2
I-200-25052-713916,Dentist,29-1021.00,"dentists, general",N,2025-02-21 00:00:00,2028-02-14 00:00:00,"Physicians Network Medical Group, Inc.",Adventist Health Medical Group ,1310 Hanna Avenue,Corcoran,KINGS,CA,93212,108.17,,Hour,I,2025,Q2
I-200-25051-711977,Dentist,29-1021.00,"dentists, general",Y,2025-04-14 00:00:00,2028-04-13 00:00:00,FAMILY HEALTHCARE NETWORK,,250 West 5th Street,Hanford,KINGS,CA,93230,200000,,Year,II,2025,Q2
I-200-25051-710465,Dentist,29-1021.00,"dentists, general",Y,2025-06-14 00:00:00,2028-06-13 00:00:00,Family Health Care,"Baldwin Family Health Care, Inc.",1615 Michigan Avenue,Baldwin,LAKE,MI,49304,145840,,Year,I,2025,Q2
I-200-25051-711127,Dentist,29-1021.00,"dentists, general",Y,2025-06-27 00:00:00,2028-06-26 00:00:00,"Lifetime Dental Care of Illinois, P.C.",,411 Keokuk Street,Lincoln,LOGAN,IL,62656,150000,,Year,II,2025,Q2
I-200-25051-711918,Dentist,29-1021.00,"dentists, general",Y,2025-04-14 00:00:00,2028-04-13 00:00:00,FAMILY HEALTHCARE NETWORK,,250 West 5th Street,Hanford,KINGS,CA,93230,200000,,Year,II,2025,Q2
I-200-25051-711853,Dentist,29-1021.00,"dentists, general",Y,2025-08-20 00:00:00,2028-08-19 00:00:00,Columbia Basin Health Association,,1515 E. Columbia St.,Othello,ADAMS,WA,99344,170000,,Year,I,2025,Q2
I-200-25051-711650,Dentist (Managing Clinical Director),29-1021.00,"dentists, general",Y,2025-08-10 00:00:00,2028-08-09 00:00:00,"Jebediah S. Christy, DDS, PC",,14 Commercial Road,Leominster,LEOMINSTER CITY,MA,01453,195000,,Year,II,2025,Q2
I-200-25051-710635,Dentist,29-1021.00,"dentists, general",Y,2025-04-07 00:00:00,2028-04-06 00:00:00,"Thunder Bay Community Health Service, Inc.",TBCHS,11899 M-32,Atlanta,MONTMORENCY,MI,49709,165000,,Year,II,2025,Q2
I-200-25051-711505,Associate Dentist,29-1021.00,"dentists, general",Y,2025-03-03 00:00:00,2028-03-02 00:00:00,Flomo Dental PLLC,,2704 Cross Timbers Road,Flowermound,DENTON,TX,75028,123344,,Year,I,2025,Q2
I-200-25051-711332,Dentist,29-1021.00,"dentists, general",Y,2025-08-01 00:00:00,2028-07-31 00:00:00,Columbia Basin Health Association,,1515 E. Columbia St.,Othello,ADAMS,WA,99344,172500,,Year,I,2025,Q2
I-200-25049-703876,Dentist,29-1021.00,"dentists, general",Y,2025-03-17 00:00:00,2028-03-16 00:00:00,CLINICA SIERRA VISTA,,441 Diaz Avenue,Delano,KERN,CA,93215,170000,,Year,II,2025,Q2
I-200-25049-703507,DENTIST,29-1021.00,"dentists, general",Y,2025-03-01 00:00:00,2028-02-28 00:00:00,"Western Dental Services, Inc.",,10144 SIERRA AVENUE,FONTANA,SAN BERNARDINO,CA,92335,100,,Hour,III,2025,Q2
I-200-25049-704185,Dentist,29-1021.00,"dentists, general",Y,2025-07-18 00:00:00,2028-07-17 00:00:00,United Health Centers of the San Joaquin Valley ,,645 South Minnewawa Avenue,Fresno,FRESNO,CA,93726,183851.28,,Year,II,2025,Q2
I-200-25049-704144,Dentist,29-1021.00,"dentists, general",Y,2025-06-15 00:00:00,2028-06-14 00:00:00,United Health Centers of the San Joaquin Valley ,,429 E. Manning Avenue,Parlier,FRESNO,CA,93648,196331.28,,Year,II,2025,Q2
I-200-25049-704080,Dentist,29-1021.00,"dentists, general",Y,2025-06-15 00:00:00,2028-06-14 00:00:00,United Health Centers of the San Joaquin Valley ,,1790 East Manning Avenue,Reedley,FRESNO,CA,93654,196331.28,,Year,II,2025,Q2
I-200-25048-699893,Dentist,29-1021.00,"dentists, general",Y,2025-03-03 00:00:00,2028-03-02 00:00:00,Life Power Group Corp,5G Dental Group,11901 Santa Monica Blvd,Los Angeles,LOS ANGELES,CA,90025,106038,,Year,I,2025,Q2
I-200-25048-699702,Dentist,29-1021.00,"dentists, general",Y,2025-07-01 00:00:00,2028-06-30 00:00:00,Charles Cole Memorial Hospital,,1001 E 2nd Street,Coudersport,POTTER,PA,16915,186000,,Year,III,2025,Q2
I-200-25045-695946,Dentist ,29-1021.00,"dentists, general",Y,2025-07-19 00:00:00,2028-07-18 00:00:00,"Tri-Hill Family Dentistry, LLC",,1601 South Queen Street,York,YORK,PA,17403,160000,,Year,II,2025,Q2
I-200-25045-696925,General Dentist,29-1021.00,"dentists, general",Y,2025-07-25 00:00:00,2028-07-24 00:00:00,Dr. Dental of Massachusetts PC,,55 Meridian Street,East Boston,BOSTON CITY,MA,02128,130000,240000,Year,I,2025,Q2
I-200-25045-694845,ASSOCIATE DENTIST,29-1021.00,"dentists, general",Y,2025-03-03 00:00:00,2028-03-02 00:00:00,"Affordable Dentures - Gainesville, P.A.",,9200 NW 39th Ave.,Gainesville,ALACHUA,FL,32606,181251,200000,Year,III,2025,Q2
I-200-25045-694848,ASSOCIATE DENTIST,29-1021.00,"dentists, general",Y,2025-03-24 00:00:00,2028-03-23 00:00:00,"Affordable Dentures & Implants - Kentucky, PLLC",,1705 N Dixie Hwy,Elizabethtown,HARDIN,KY,42701,194397,225000,Year,III,2025,Q2
I-200-25044-692092,Dentist,29-1021.00,"dentists, general",Y,2025-06-30 00:00:00,2028-06-29 00:00:00,"Eastern Shore Rural Health System, Inc.",,9159 Franktown Road,Franktown,NORTHAMPTON,VA,23354,154544,155000,Year,IV,2025,Q2
I-200-25044-690623,Dentist,29-1021.00,"dentists, general",Y,2025-05-05 00:00:00,2028-05-04 00:00:00,"Edward M. Kennedy Community Health Center, Inc.",,115 Northeast Cutoff,Worcester,WORCESTER CITY,MA,01606,145000,,Year,I,2025,Q2
I-200-25045-692686,General Dentist,29-1021.00,"dentists, general",Y,2025-03-02 00:00:00,2028-03-01 00:00:00,Familia Dental Odessa PLLC,,1401 E. 8th St.,Odessa,ECTOR,TX,79761,98634,,Year,I,2025,Q2
I-200-25044-692158,Dentist,29-1021.00,"dentists, general",N,2025-03-03 00:00:00,2028-03-02 00:00:00,Crystal Dental Care PLLC,,402 E Zavala St,Crystal City,ZAVALA,TX,78839,100,,Hour,III,2025,Q2
I-200-25044-690953,Dentist,29-1021.00,"dentists, general",Y,2025-08-12 00:00:00,2028-08-11 00:00:00,Aria Community Health Center,,329 West 8th Street,Hanford,KINGS,CA,93230,208832,,Year,II,2025,Q2
I-200-25043-688663,Dentist,29-1021.00,"dentists, general",Y,2025-03-24 00:00:00,2028-03-17 00:00:00,The WeCare Group,WeCare at Southern Trinity Health Services,321 Van Duzen Road,Mad River,TRINITY,CA,95552,187200,218400,Year,II,2025,Q2
I-200-25042-684085,Dentist,29-1021.00,"dentists, general",N,2025-02-13 00:00:00,2028-02-12 00:00:00,Back Bay Boston Dental,Dental Esthetics Boston,745 Boytston Street,Boston,CAMBRIDGE CITY,MA,02116,80,,Hour,II,2025,Q2
I-200-25042-684111,Dentist (Managing Clinical Director),29-1021.00,"dentists, general",Y,2025-08-10 00:00:00,2028-08-09 00:00:00,"Jebediah S. Christy, DDS, PC",,14 Commercial Road,Leominster,LEOMINSTER CITY,MA,01453,195000,,Year,II,2025,Q2
I-200-25042-683251,Clinical Associate Professor,29-1021.00,"dentists, general",Y,2025-07-31 00:00:00,2028-07-30 00:00:00,The University of Iowa,,The University of Iowa,Iowa City,JOHNSON,IA,52242,140000,,Year,I,2025,Q2
I-200-25042-682858,Professor with Tenure,29-1021.00,"dentists, general",Y,2025-07-31 00:00:00,2028-07-30 00:00:00,The University of Iowa,,The University of Iowa,Iowa City,JOHNSON,IA,52242,170000,,Year,II,2025,Q2
I-200-25041-680176,Dentist,29-1021.00,"dentists, general",N,2025-06-23 00:00:00,2028-06-22 00:00:00,"Valudental San Pedro, PLLC",Celebrate Dental & Braces,6868 San Pedro Avenue,San Antonio,BEXAR,TX,78216,44.9,,Hour,I,2025,Q2
I-200-25041-679351,General Dentist,29-1021.00,"dentists, general",Y,2025-06-06 00:00:00,2028-06-05 00:00:00,Dr. Dental of Massachusetts PC,,2 Washington Avenue,Chelsea,CHELSEA CITY,MA,02150,130000,,Year,I,2025,Q2
I-200-25039-677357,DENTIST,29-1021.00,"dentists, general",Y,2025-05-25 00:00:00,2028-05-24 00:00:00,"Western Dental Services, Inc.",,5501 STOCKTON BLVD.,SACRAMENTO,SACRAMENTO,CA,95820,100,,Hour,IV,2025,Q2
I-200-25039-677449,Dentist,29-1021.00,"dentists, general",Y,2025-04-14 00:00:00,2028-04-13 00:00:00,FAMILY HEALTHCARE NETWORK,,250 West 5th Street,Hanford,KINGS,CA,93230,187000,,Year,II,2025,Q2
I-200-25038-675504,ASSOCIATE DENTIST,29-1021.00,"dentists, general",Y,2025-03-10 00:00:00,2028-03-09 00:00:00,"Affordable Dentures & Implants - East Indianapolis III, P.C.",,9749 E. Washington Street,Indianapolis,MARION,IN,46229,205899,225000,Year,III,2025,Q2
I-200-25039-677346,DENTIST,29-1021.00,"dentists, general",Y,2025-07-31 00:00:00,2028-07-30 00:00:00,"Western Dental Services, Inc.",,5247 ELKHORN BLVD.,SACRAMENTO,SACRAMENTO,CA,95842,100,,Hour,IV,2025,Q2
I-200-25038-675669,Dentist,29-1021.00,"dentists, general",Y,2025-03-03 00:00:00,2028-03-02 00:00:00,"Kings Dental Gunacar, Inc.",,10777 Montgomery Road,Cincinnati,HAMILTON,OH,45242,249600,,Year,IV,2025,Q2
I-200-25037-671973,Resident Physician 1,29-1021.00,"dentists, general",Y,2025-07-01 00:00:00,2028-06-30 00:00:00,University of New Mexico,,1801 Camino de Salud NE,Albuquerque,BERNALILLO,NM,87102,65550,81902,Year,,2025,Q2
I-200-25037-672136,DENTIST,29-1021.00,"dentists, general",Y,2025-02-14 00:00:00,2028-02-13 00:00:00,DALLA DENTAL GROUP FAIRFIELD INC.,,"2750 N TEXAS STREET, STE. 360",FAIRFIELD,SOLANO,CA,94533,106,,Hour,III,2025,Q2
I-200-25036-667453,Dentist,29-1021.00,"dentists, general",Y,2025-03-03 00:00:00,2028-03-02 00:00:00,Ozarks Resource Group,Ozarks Community Health Center,3 N. Hwy 39,Greenfield,DADE,MO,65661,180000,245000,Year,II,2025,Q2
I-200-25035-663789,Dentist,29-1021.00,"dentists, general",Y,2025-08-01 00:00:00,2028-07-31 00:00:00,Lewis County Community Health Services,Valley View Health Center,2690 NE Kresky Ave.,Chehalis,LEWIS,WA,98532,190000,,Year,I,2025,Q2
I-200-25035-665016,Associate Dentist,29-1021.00,"dentists, general",Y,2025-03-03 00:00:00,2028-03-02 00:00:00,"Synergy Dental Spa, P.A.",,2439 Country Place Blvd.,Trinity,PASCO,FL,34655,180000,,Year,II,2025,Q2
I-200-25035-665415,Dentist,29-1021.00,"dentists, general",Y,2025-03-03 00:00:00,2028-03-02 00:00:00,Jacobson Dental Corporation (d/b/a Children's Choice Pediatric Dental),,2057 Tully Road,Modesto,STANISLAUS,CA,95350,228800,,Year,I,2025,Q2
